id,2000,data_2010,data_2020,percentage
1468,5683000,4549527,3642124,-2.2
1459,1476000,941163,600128,-4.4
1472,1416000,941403,625875,-4
1480,2365000,2249375,2139404,-0.5
1458,1189000,697052,408647,-5.2
1501,1244000,835707,561420,-3.9
1464,2127000,1568501,1156651,-3
1470,2986000,2926815,2868802,-0.2
1495,2005000,1926228,1850551,-0.4
1466,2025000,1868709,1724481,-0.8
1491,6938000,8457383,10309503,2
1460,5926000,7660114,9901679,2.6
1497,12064000,18915080,29656850,4.6
1475,8490000,11299558,15038869,2.9
1485,2476000,1961988,1554683,-2.3
1499,1121000,944367,795565,-1.7
1471,1181000,1134601,1090026,-0.4
1462,829000,684297,564852,-1.9
1503,888000,696484,546272,-2.4
1482,2215000,1809816,1478752,-2
1465,2108000,1849448,1622608,-1.3
1494,3767000,3511463,3273261,-0.7
1457,7043000,8755212,10883676,2.2
1479,1857000,1731029,1613604,-0.7
1492,1343000,1669494,2075362,2.2
1478,2644000,2540124,2440328,-0.4
1489,8805000,7963084,7201671,0.5
1469,5551000,4821036,4187063,-0.1
1484,1443000,1031647,737557,-1.4
1500,1070000,789043,581859,-3.3
1498,613000,438253,313321,-3
1493,762000,717494,675589,-3.3
1487,1951000,1837051,1729756,-0.6
1467,2879000,2167227,1631424,-0.6
1502,1528000,1126784,830917,-2.8
1496,824000,701258,596800,-3
1473,1023000,794185,616549,-1.6
1461,1493000,992595,659909,-2.5
1476,814000,847152,881655,-4
1463,5016000,4015560,3214657,0.4
1490,877000,723918,597557,-1.9
1483,1517000,1062328,743929,-3.5
1477,1859000,1630989,1430943,-1.3
1486,1221000,1093147,978681,-1.1
1481,1170000,1005885,864789,-1.5
1474,1786000,1358344,1033090,-2.7
1488,1318000,1654519,2076960,2.3
